# Audit record for /ssd1_nas_md/water_benchmarking/spce/gromos
# 'audited' files are carried in this record or kept beside the run;
# 'excluded' are the trajectories, removed after this was written.  A
# restored copy can be proved identical with `sha256sum -c`.

0c0036754e5ba21e318409319bdd3dfdb0c726895865ae4272fd1a5244453973  md_09.log
d62a135ad7168d1cc8321212c6cb0c2d862ac9182458a794d5c802116ecd9813  md_10.log
d77a45d6091f340e58b3759f1c78e86ee0825f4c991ce577923e287da079213e  md_01.log.job.json
5f19a2aadb63ef80fd29bbb3c925401d929f5687d5601cc95747d92af5f79168  md_02.log.job.json
11637053ef786c00b581d42bae3fdf3abe1ba9186b2bd5f00a34d2cc06c60c4d  md_03.log.job.json
9f8fa909620a2c01a06b251abc31d15426fe3edb6dcab57425004e2cbe98d73d  md_04.log.job.json
9681492b36052669d09470b9f6849678f9134624f6321b26a309365eb718d30a  md_05.log.job.json
e9bbf164cb8cda7e1f93eb30a7c25a1f696a43af791078abffeaf8c22bacc607  md_06.log.job.json
6bd5c84931e6f5230b46364278147aec15afdf02f35813c5092968d14f22ed91  md_07.log.job.json
f8af17ea30fe558d495157d53d8883ad2e6079ca5eac23c895afd6203e36f695  md_08.log.job.json
233088b828b91be96a0a69bc6abcf98697b6c027b4588320660c55e96bbae802  md_09.log.job.json
053fb7e7520f54f19a286de9708243c7a9263310411dc2d1812d9a6d64a372f4  md_10.log.job.json
49dabaaa646bc171e6556d2a71c916bd5fba0202fbc8536426511eac5d25dae0  emin.tre.gz
02c58c63c0006de4437ff6b78d18da74b85df684c75c30aca256508440e41554  eq1.tre.gz
14798318b348e16a564a773344407b9bdc9e3862a26951f38acae3ecb4c14c92  eq2.tre.gz
0ec068e918dc4dfe8327c22c3aa9d385b690c30ab97370bc810216483801fa61  md_01.tre.gz
ad4c24b04d840e381cb898ce773a9003551cb1ca1f426a8e2ab08bf17c2336d4  md_02.tre.gz
a3b92ce1621b428394c37f4113aa8888394f3700cad2528abcdc091f100336de  md_03.tre.gz
87ab06d84a33e0a0ad41fb2dac30835d3ba6680c242bd46601ac57a1fc21a4bd  md_04.tre.gz
a669ff47a5c40c3de7a70b82d1e952a8a886a3e8361298a70fad158cfe387c1e  md_05.tre.gz
73799f7c1b40b087a2de204f55129afcaeeb6fb73e741de2a15bfa4389264eed  md_06.tre.gz
98844905f51f1ed2b7620f3d8d2423f8af1afea5424caa7deb9296d4466f8deb  md_07.tre.gz
89b1ed298efbe37828f40c3e883aff8fc99cbf136b360f9b25be566066e659dd  md_08.tre.gz
00b42d1ef5ec0b2d3a8ced937ff42972925d7d40ece1aab8ded71961564c16cf  md_09.tre.gz
922e98fd6788229fc581fe847020b45ca1f8155fe4834ca019f824491640d513  md_10.tre.gz

# excluded (trajectory data, not retained)
316050d74f42043c1d292db9e0756a8446660f20a6f2abdaad8c49ddba2a4647  emin.trc.gz
0d2e317535fc5e3d43d2c8b10f034b763a6359c0bb9ccec67339d5dc32f8c036  eq1.trc.gz
a363443340afa702003fef7af36760cbeb5f7ca0bbbb037a6eeb0817d8001a98  eq2.trc.gz
ef8426bf4bd5ccd50991b76ab2e8c27265e692f1ad6b14abd13e0fc24addd853  md_01.trc.gz
e971bc8d594538d9d16356de4b396001bca0daf806a8101ec26737f9437ecd1b  md_02.trc.gz
e9bf10a6e5a296648b577c77d1218826ace62fe36aa8942f62b984cdfd95ced8  md_03.trc.gz
a2ecfe8434923d666ff2095f6a2c9ad52f9dcf9f3d4921c50434225d013f2780  md_04.trc.gz
4adbec7fe803cf0104da4699b5c6f1a9f055af71810f00771f62a93862c0a604  md_05.trc.gz
0bda225b61cddab11760ad5f903ab7ebc80577d45ae5698d98e9edc8ec918eaf  md_06.trc.gz
4d05f1493f9a85dba81d359c3277066be897b40a13b70fa73448100d59f9cdd8  md_07.trc.gz
8da7f380ec89bedaa1a442e8fa1f44676b7ee48b801b44d8fcf715da98abd57a  md_08.trc.gz
7111461adba35d5ff7480b31ae4c5491b78f80d1f230387c36671f84a731ed3a  md_09.trc.gz
48b87bc3abaeae6149c8bd12a5d6d479a0502f40e7e4de26e5388789da2188f4  md_10.trc.gz
c064c1292b8593300720c00f457d4d1b21e47885bc2073d6e3d0815518a951cd  eq3.trc
